"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"132","132"," ","HEALTHSOUTH TREASURE COAST REHAB","1600 37TH ST","VERO BEACH","32960","Indian River","-80.40044051","27.66101437","-80.40044051,27.66101437","17R NL 59134 59795"," "," ","HOSPITAL","80","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_132",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","34","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"133","133"," ","JACKSON HOSP","4250 HOSPITAL DR","MARIANNA","32446","Jackson","-85.24154633","30.78687595","-85.24154633,30.78687595","16R FV 68257 07304"," "," ","HOSPITAL - ACUTE CARE","100","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_133","Marianna","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","5","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"134","134"," ","CAMPBELLTON-GRACEVILLE HOSP","5429 COLLEGE DR","GRACEVILLE","32440","Jackson","-85.50680081","30.96314424","-85.50680081,30.96314424","16R FV 42612 26473"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_134","Graceville","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","5","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"135","135"," ","FL HOSP WATERMAN","1000 WATERMAN WAY","TAVARES","32778","Lake","-81.71069843","28.82345075","-81.71069843,28.82345075","17R MM 30659 88633"," "," ","HOSPITAL - ACUTE CARE","269","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_135","Tavares","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","26","13","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"136","136"," ","LEESBURG REHABILITATION HOSPITAL","700 N PALMETTO ST","LEESBURG","34748","Lake","-81.87440306","28.81790045","-81.87440306,28.81790045","17R MM 14682 88124"," "," ","HOSPITAL - ACUTE CARE","2","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_136","Leesburg","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","26","13","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"137","137"," ","LEESBURG REGIONAL MEDICAL CNTR","600 E DIXIE AVE","LEESBURG","34748","Lake","-81.86832126","28.80749358","-81.86832126,28.80749358","17R MM 15267 86967"," "," ","HOSPITAL - ACUTE CARE","308","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_137","Leesburg","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","26","13","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"138","138"," ","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","CLERMONT","34711","Lake","-81.72220693","28.55193058","-81.72220693,28.55193058","17R MM 29354 58557"," "," ","HOSPITAL - ACUTE CARE","170","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_138","Clermont","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","25","13","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"139","139"," ","LIFESTREAM BEHAVIORAL CNTR","2020 TALLY RD","LEESBURG","34748","Lake","-81.89460863","28.83794133","-81.89460863,28.83794133","17R MM 12727 90359"," "," ","HOSPITAL","46","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_139","Leesburg","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","26","13","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"140","140"," ","GULF COAST MEDICAL CNTR LMHS","13681 DOCTORS WAY","FORT MYERS","33912","Lee","-81.84981503","26.5441147","-81.84981503,26.54411470","17R MK 15346 36223"," "," ","HOSPITAL - ACUTE CARE","356","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_140",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"141","141"," ","LMHS LEE CONVENIENT CARE/PINE ISLAND RD","1682 NE PINE ISLAND RD","CAPE CORAL","33909","Lee","-81.93800776","26.66854062","-81.93800776,26.66854062","17R MK 06661 50066"," "," ","HOSPITAL","0","MDFLT",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_141","Cape Coral","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","79","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"142","142"," ","PARK ROYAL HOSP","9241 PARK ROYAL DR","FORT MYERS","33908","Lee","-81.90953907","26.51040323","-81.90953907,26.51040323","17R MK 09370 32530"," "," ","HOSPITAL","103","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_142",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"143","143"," ","LMHS LEE CONVENIENT CARE - PAGE FIELD","4741-4771 S CLEVELAND AVE","FORT MYERS","33907","Lee","-81.87134914","26.59186653","-81.87134914,26.59186653","17R MK 13237 41527"," "," ","HOSPITAL","0","MDFLT",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_143",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"144","144"," ","CAPE CORAL HOSP LMHS","636 DEL PRADO BLVD","CAPE CORAL","33990","Lee","-81.94217712","26.63922027","-81.94217712,26.63922027","17R MK 06222 46822","PR"," ","HOSPITAL - ACUTE CARE","291","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_144","Cape Coral","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","79","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"145","145"," ","PROMISE HOSP OF FORT MYERS","3050 CHAMPION RING RD","FORT MYERS","33905","Lee","-81.802719","26.631078","-81.80271900,26.63107800","17R MK 20098 45825"," "," ","HOSPITAL - ACUTE CARE","60","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_145","Fort Myers","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"146","146"," ","HEALTHPARK MEDICAL CNTR","9981 HEALTHPARK CIR","FORT MYERS","33908","Lee","-81.91297645","26.50729264","-81.91297645,26.50729264","17R MK 09025 32188"," "," ","HOSPITAL - ACUTE CARE","368","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_146",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"147","147"," ","LEHIGH REGIONAL MEDICAL CNTR","1500 LEE BLVD","LEHIGH ACRES","33936","Lee","-81.65929373","26.61608252","-81.65929373,26.61608252","17R MK 34366 44083"," "," ","HOSPITAL - ACUTE CARE","88","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_147",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","77","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"148","148"," ","LEE COUNY VA HEALTHCARE CENTER","2489 DIPLOMAT PKWY E","CAPE CORAL","33909","Lee","-81.92011764","26.68578387","-81.92011764,26.68578387","17R MK 08455 51963"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_148","Cape Coral","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","76","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"149","149"," ","LEE MEMORIAL HOSP","2776 CLEVELAND AVE","FORT MYERS","33901","Lee","-81.87404774","26.62839039","-81.87404774,26.62839039","17R MK 12995 45574","PR"," ","HOSPITAL - TRAUMA","411","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_149","Fort Myers","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"150","150","0","VA CLINIC","3033 WINKLER AVE EXT","FORT MYERS"," ","Lee","-81.84948087","26.6055041","-81.84948087,26.60550410","17R MK 15424 43023"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_150","Fort Myers","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","78","33","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"151","151"," ","TALLAHASSEE OUTPATIENT CLIN","1607 ST JAMES CT","TALLAHASSEE","32308","Leon","-84.24029","30.45652","-84.24029000,30.45652000","16R GU 64991 72609"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_151","Tallahassee","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","9","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","High","High"
"152","152"," ","TALLAHASSEE OUTPATIENT CLINIC","2181 E. ORANGE AVE.","TALLAHASSEE","32311","Leon","-84.24804513","30.4099806","-84.24804513,30.40998060","16R GU 64371 67431"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_152","Tallahassee","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","8","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"153","153"," ","TALLAHASSEE MEMORIAL HOSPITAL","1300 MICCOSUKEE RD","TALLAHASSEE","32308","Leon","-84.26210598","30.45624632","-84.26210598,30.45624632","16R GU 62896 72528"," "," ","HOSPITAL - TRAUMA","772","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_153","Tallahassee","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","9","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"154","154"," ","CAPITAL REGIONAL MED CENT","2626 CAPITAL MEDICAL BLVD","TALLAHASSEE","32308","Leon","-84.23119785","30.47580938","-84.23119785,30.47580938","16R GU 65812 74769"," "," ","HOSPITAL - ACUTE CARE","266","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_154","Tallahassee","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","9","3","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
